"","State","Date","WindGustSpeed","WindCata"
"1","NSW","2008-12-01",59,"Safe"
"2","NSW","2008-12-02",44,"Safe"
"3","NSW","2008-12-03",70,"MinorHazard"
"4","NSW","2008-12-04",39,"Safe"
"5","NSW","2008-12-05",41,"Safe"
"6","NSW","2008-12-06",56,"Safe"
"7","NSW","2008-12-07",50,"Safe"
"8","NSW","2008-12-08",54,"Safe"
"9","NSW","2008-12-09",80,"MinorHazard"
"10","NSW","2008-12-10",59,"Safe"
"11","NSW","2008-12-11",33,"Safe"
"12","NSW","2008-12-12",67,"MinorHazard"
"13","NSW","2008-12-13",91,"Damaging"
"14","NSW","2008-12-14",85,"MinorHazard"
"15","NSW","2008-12-16",50,"Safe"
"16","NSW","2008-12-17",50,"Safe"
"17","NSW","2008-12-18",67,"MinorHazard"
"18","NSW","2008-12-19",56,"Safe"
"19","NSW","2008-12-20",56,"Safe"
"20","NSW","2008-12-21",35,"Safe"
"21","NSW","2008-12-22",63,"MinorHazard"
"22","NSW","2008-12-23",52,"Safe"
"23","NSW","2008-12-24",43,"Safe"
"24","NSW","2008-12-25",43,"Safe"
"25","NSW","2008-12-26",48,"Safe"
"26","NSW","2008-12-27",59,"Safe"
"27","NSW","2008-12-28",48,"Safe"
"28","NSW","2008-12-29",46,"Safe"
"29","NSW","2008-12-30",57,"Safe"
"30","NSW","2008-12-31",46,"Safe"
"31","NSW","2009-01-01",72,"MinorHazard"
"32","NSW","2009-01-02",69,"MinorHazard"
"33","NSW","2009-01-03",52,"Safe"
"34","NSW","2009-01-04",65,"MinorHazard"
"35","NSW","2009-01-05",63,"MinorHazard"
"36","NSW","2009-01-06",72,"MinorHazard"
"37","NSW","2009-01-07",63,"MinorHazard"
"38","NSW","2009-01-08",57,"Safe"
"39","NSW","2009-01-09",78,"MinorHazard"
"40","NSW","2009-01-10",81,"MinorHazard"
"41","NSW","2009-01-11",76,"MinorHazard"
"42","NSW","2009-01-12",50,"Safe"
"43","NSW","2009-01-13",59,"Safe"
"44","NSW","2009-01-14",67,"MinorHazard"
"45","NSW","2009-01-15",81,"MinorHazard"
"46","NSW","2009-01-16",63,"MinorHazard"
"47","NSW","2009-01-17",61,"Safe"
"48","NSW","2009-01-18",61,"Safe"
"49","NSW","2009-01-19",59,"Safe"
"50","NSW","2009-01-20",115,"Damaging"
"51","NSW","2009-01-21",76,"MinorHazard"
"52","NSW","2009-01-22",98,"Damaging"
"53","NSW","2009-01-23",94,"Damaging"
"54","NSW","2009-01-24",85,"MinorHazard"
"55","NSW","2009-01-25",65,"MinorHazard"
"56","NSW","2009-01-26",57,"Safe"
"57","NSW","2009-01-27",57,"Safe"
"58","NSW","2009-01-28",54,"Safe"
"59","NSW","2009-01-29",61,"Safe"
"60","NSW","2009-01-30",61,"Safe"
"61","NSW","2009-01-31",61,"Safe"
"62","NSW","2009-02-01",83,"MinorHazard"
"63","NSW","2009-02-02",63,"MinorHazard"
"64","NSW","2009-02-05",63,"MinorHazard"
"65","NSW","2009-02-06",67,"MinorHazard"
"66","NSW","2009-02-07",67,"MinorHazard"
"67","NSW","2009-02-08",59,"Safe"
"68","NSW","2009-02-09",57,"Safe"
"69","NSW","2009-02-10",59,"Safe"
"70","NSW","2009-02-11",81,"MinorHazard"
"71","NSW","2009-02-12",57,"Safe"
"72","NSW","2009-02-13",69,"MinorHazard"
"73","NSW","2009-02-14",65,"MinorHazard"
"74","NSW","2009-02-15",61,"Safe"
"75","NSW","2009-02-16",67,"MinorHazard"
"76","NSW","2009-02-17",67,"MinorHazard"
"77","NSW","2009-02-18",74,"MinorHazard"
"78","NSW","2009-02-19",59,"Safe"
"79","NSW","2009-02-20",48,"Safe"
"80","NSW","2009-02-21",48,"Safe"
"81","NSW","2009-02-22",54,"Safe"
"82","NSW","2009-02-23",70,"MinorHazard"
"83","NSW","2009-02-24",56,"Safe"
"84","NSW","2009-02-25",46,"Safe"
"85","NSW","2009-02-26",52,"Safe"
"86","NSW","2009-02-27",65,"MinorHazard"
"87","NSW","2009-02-28",59,"Safe"
"88","NSW","2009-03-01",50,"Safe"
"89","NSW","2009-03-02",52,"Safe"
"90","NSW","2009-03-03",65,"MinorHazard"
"91","NSW","2009-03-04",61,"Safe"
"92","NSW","2009-03-05",57,"Safe"
"93","NSW","2009-03-06",46,"Safe"
"94","NSW","2009-03-07",52,"Safe"
"95","NSW","2009-03-08",50,"Safe"
"96","NSW","2009-03-09",50,"Safe"
"97","NSW","2009-03-10",61,"Safe"
"98","NSW","2009-03-11",57,"Safe"
"99","NSW","2009-03-12",48,"Safe"
"100","NSW","2009-03-13",39,"Safe"
"101","NSW","2009-03-14",70,"MinorHazard"
"102","NSW","2009-03-15",50,"Safe"
"103","NSW","2009-03-16",50,"Safe"
"104","NSW","2009-03-17",43,"Safe"
"105","NSW","2009-03-18",52,"Safe"
"106","NSW","2009-03-19",43,"Safe"
